# mouseland_datalimit selection manifest
# rule: all 89 sessions and all trials are included, but each session's recorded cells are subsampled to a random 9.8% (seed 0).
# size: 49.6 GB (cap 50 GB)
# seed: 0
# sessions: 89 of 89
# cells: 459,723 of 4,691,034
# cells_per_session_mean: 5,165
# param cell_fraction: 0.098
# param seed: 0
# generated by download/select_datalimit.py -- do not hand-edit
session,n_cells_total,n_cells_kept
DR10_2022_07_12_1,58224,5706
DR10_2022_07_19_1,54741,5365
DR10_2022_07_21_1,50347,4934
DR10_2022_07_28_1,50195,4919
DR10_2022_07_29_1,56106,5498
DR10_2022_07_30_1,47963,4700
DR15_2022_10_09_1,55746,5463
DR15_2022_10_19_1,58930,5775
DR15_2022_10_20_1,64130,6285
DR15_2022_11_02_1,57540,5639
DR15_2022_11_03_2,59251,5807
LZ13_2024_05_15_1,34658,3396
LZ13_2024_05_16_2,34575,3388
LZ13_2024_05_28_1,38489,3772
LZ13_2024_05_29_1,39358,3857
LZ16_2024_05_18_2,33577,3291
LZ16_2024_05_19_1,31859,3122
LZ16_2024_05_31_2,35918,3520
LZ16_2024_06_01_1,35291,3459
TX104_2022_10_12_1,43834,4296
TX104_2022_10_20_1,42565,4171
TX105_2022_10_08_2,58941,5776
TX105_2022_10_19_2,55653,5454
TX105_2022_10_21_1,61115,5989
TX105_2022_11_05_1,45207,4430
TX105_2022_11_08_1,55457,5435
TX108_2023_01_05_2,68553,6718
TX108_2023_03_13_1,85481,8377
TX108_2023_03_22_1,75480,7397
TX108_2023_03_25_1,79417,7783
TX108_2023_04_01_1,68045,6668
TX108_2023_04_04_1,76530,7500
TX108_2023_04_07_1,65861,6454
TX109_2023_03_16_1,85468,8376
TX109_2023_03_27_1,63625,6235
TX109_2023_04_07_1,89577,8779
TX109_2023_04_18_1,83309,8164
TX109_2023_05_12_1,71687,7025
TX109_2023_05_13_1,76296,7477
TX119_2023_12_12_1,28907,2833
TX119_2023_12_13_1,34222,3354
TX119_2023_12_14_1,31672,3104
TX119_2023_12_23_1,36935,3620
TX119_2023_12_24_1,27281,2674
TX119_2024_01_06_1,29587,2900
TX119_2024_01_07_1,32547,3190
TX119_2024_01_09_1,36238,3551
TX123_2023_12_18_1,52044,5100
TX123_2023_12_20_1,46975,4604
TX123_2023_12_21_1,28696,2812
TX123_2024_01_02_1,43103,4224
TX123_2024_01_03_1,30931,3031
TX123_2024_01_15_1,30252,2965
TX123_2024_01_16_1,26756,2622
TX123_2024_01_17_1,32329,3168
TX124_2023_12_23_1,24383,2390
TX124_2023_12_24_1,20547,2014
TX124_2023_12_26_1,23176,2271
TX139_2024_05_18_1,35126,3442
TX139_2024_05_31_1,34522,3383
TX140_2024_05_31_1,49311,4832
TX60_2021_04_10_1,48732,4776
TX60_2021_05_04_1,57368,5622
TX60_2021_06_07_1,47785,4683
TX60_2021_06_21_1,60924,5971
TX60_2021_06_22_1,48742,4777
TX61_2021_06_07_2,62256,6101
TX61_2021_06_19_1,67669,6632
TX61_2021_06_20_1,72193,7075
TX61_2021_06_23_1,68951,6757
TX61_2021_06_25_1,79586,7799
TX83_2022_08_17_1,44059,4318
TX83_2022_08_29_1,52954,5189
TX83_2022_08_31_1,50689,4968
TX85_2022_06_14_1,59560,5837
TX85_2022_06_17_1,55163,5406
TX88_2022_06_13_2,62606,6135
TX88_2022_06_17_2,48824,4785
TX88_2022_06_20_1,58099,5694
TX88_2022_07_15_1,53028,5197
TX88_2022_07_19_1,61456,6023
TX88_2022_07_22_1,55592,5448
VR2_2021_03_20_1,81473,7984
VR2_2021_04_06_1,71069,6965
VR2_2021_04_11_1,76108,7459
VR2_2021_04_28_1,63897,6262
VR2_2021_04_29_1,65287,6398
VR2_2021_05_04_1,55650,5454
VR2_2021_05_06_1,76775,7524
