# zhang2025_datalimit selection manifest
# rule: 18 of 139 subjects, with at least one from each of the 12 labs; every session and every trial of each retained subject is included.
# size: 49.4 GB (cap 50 GB)
# seed: 0
# subjects: 18 of 139
# sessions: 39 of 459
# labs: 12 of 12
# subject_ids: angelakilab/NYU-47,churchlandlab/CSHL047,churchlandlab_ucla/UCLA014,cortexlab/KS084,cortexlab/KS086,danlab/DY_011,hausserlab/PL024,hoferlab/SWC_066,mainenlab/ZFM-01592,mainenlab/ZFM-02370,mainenlab/ZM_1897,mrsicflogellab/SWC_039,mrsicflogellab/SWC_065,steinmetzlab/NR_0021,wittenlab/ibl_witten_17,wittenlab/ibl_witten_32,zadorlab/CSH_ZAD_011,zadorlab/CSH_ZAD_019
# generated by download/select_datalimit.py -- do not hand-edit
eid,session_path
03cf52f6-fba6-4743-a42e-dd1ac3072343,zadorlab/Subjects/CSH_ZAD_011/2020-03-22/001
03d9a098-07bf-4765-88b7-85f8d8f620cc,churchlandlab_ucla/Subjects/UCLA014/2021-08-18/001
08102cfc-a040-4bcf-b63c-faa0f4914a6f,wittenlab/Subjects/ibl_witten_32/2021-07-21/002
1425bd6f-c625-4f6a-b237-dc5bcfc42c87,mrsicflogellab/Subjects/SWC_065/2022-05-07/001
15948667-747b-4702-9d53-354ac70e9119,angelakilab/Subjects/NYU-47/2021-06-22/001
1b715600-0cbc-442c-bd00-5b0ac2865de1,cortexlab/Subjects/KS084/2022-01-31/001
1ca83b26-30fc-4350-a616-c38b7d00d240,steinmetzlab/Subjects/NR_0021/2022-06-30/002
27ef44c0-acb2-4220-b776-477d0d5abd35,steinmetzlab/Subjects/NR_0021/2022-06-28/001
288bfbf3-3700-4abe-b6e4-130b5c541e61,angelakilab/Subjects/NYU-47/2021-06-24/003
2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,churchlandlab/Subjects/CSHL047/2020-01-22/002
30af8629-7b96-45b7-8778-374720ddbc5e,hausserlab/Subjects/PL024/2021-12-04/001
36280321-555b-446d-9b7d-c2e17991e090,danlab/Subjects/DY_011/2020-02-01/001
49e0ab27-827a-4c91-bcaa-97eea27a1b8d,zadorlab/Subjects/CSH_ZAD_019/2020-08-18/001
56bc129c-6265-407a-a208-cc16d20a6c01,mainenlab/Subjects/ZFM-01592/2020-10-23/001
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,zadorlab/Subjects/CSH_ZAD_019/2020-08-16/001
5b44c40f-80f4-44fb-abfb-c7f19e27a6ca,zadorlab/Subjects/CSH_ZAD_011/2020-03-21/001
5b609f9b-75cb-43d3-9c39-b5b4b7a0db67,mainenlab/Subjects/ZFM-01592/2020-10-21/001
6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,mainenlab/Subjects/ZFM-02370/2021-04-28/001
741979ce-3f10-443a-8526-2275620c8473,danlab/Subjects/DY_011/2020-02-07/001
746d1902-fa59-4cab-b0aa-013be36060d5,mainenlab/Subjects/ZFM-01592/2020-10-20/001
768a371d-7e88-47f8-bf21-4a6a6570dd6e,mrsicflogellab/Subjects/SWC_039/2020-09-10/001
7bee9f09-a238-42cf-b499-f51f765c6ded,danlab/Subjects/DY_011/2020-01-31/001
7f6b86f9-879a-4ea2-8531-294a221af5d0,zadorlab/Subjects/CSH_ZAD_019/2020-08-14/001
a4747ac8-6a75-444f-b99b-696fff0243fd,hoferlab/Subjects/SWC_066/2022-04-28/001
b10ed1ba-2099-42c4-bee3-d053eb594f09,wittenlab/Subjects/ibl_witten_17/2020-07-30/004
b52182e7-39f6-4914-9717-136db589706e,churchlandlab/Subjects/CSHL047/2020-01-21/001
cf43dbb1-6992-40ec-a5f9-e8e838d0f643,danlab/Subjects/DY_011/2020-02-08/001
d0c91c3c-8cbb-4929-8657-31f18bffc294,mainenlab/Subjects/ZFM-02370/2021-04-27/001
d832d9f7-c96a-4f63-8921-516ba4a7b61f,wittenlab/Subjects/ibl_witten_17/2020-07-22/003
da188f2c-553c-4e04-879b-c9ea2d1b9a93,zadorlab/Subjects/CSH_ZAD_011/2020-03-23/001
dcceebe5-4589-44df-a1c1-9fa33e779727,wittenlab/Subjects/ibl_witten_17/2020-07-23/001
dd4da095-4a99-4bf3-9727-f735077dba66,mainenlab/Subjects/ZM_1897/2019-12-02/001
e0928e11-2b86-4387-a203-80c77fab5d52,steinmetzlab/Subjects/NR_0021/2022-07-08/001
e45481fa-be22-4365-972c-e7404ed8ab5a,cortexlab/Subjects/KS086/2022-03-15/001
e5fae088-ed96-4d9b-82f9-dfd13c259d52,mainenlab/Subjects/ZM_1897/2019-12-06/001
edd22318-216c-44ff-bc24-49ce8be78374,zadorlab/Subjects/CSH_ZAD_019/2020-08-19/001
f4ffb731-8349-4fe4-806e-0232a84e52dd,hoferlab/Subjects/SWC_066/2022-04-27/001
fc43390d-457e-463a-9fd4-b94a0a8b48f5,angelakilab/Subjects/NYU-47/2021-06-25/001
ffef0311-8ffa-49e3-a857-b3adf6d86e12,cortexlab/Subjects/KS086/2022-03-16/001
